Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 08/14  10:00:00,1.05665812311232,0.000000000000000E+000,0.000000000000000E+000,0.436399041222187,0.131918112740504,0.568317153962690,0.131918112740504,4.802623305433765E-002,9.850653335891362E-003,0.109439341159945,0.270689526798023,3.526020274143435E-002 
 08/14  11:00:00,1.07788390266877,0.000000000000000E+000,0.000000000000000E+000,0.445950260824645,0.134822332059754,0.580772592884400,0.134822332059754,4.802623305433765E-002,9.850653335891362E-003,0.118127106899833,0.270772458638341,3.525984579596518E-002 
 08/14  12:00:00,1.08109297311323,0.000000000000000E+000,0.000000000000000E+000,0.443047978600877,0.133953115063596,0.577001093664475,0.133953115063596,4.802623305433765E-002,9.850653335891362E-003,0.129668366297856,0.266211207420850,3.526040727982131E-002 
 08/14  13:00:00,1.13594492950162,0.000000000000000E+000,0.000000000000000E+000,0.488563523368423,0.147120593213290,0.635684116581711,0.147120593213290,4.802623305433765E-002,9.850653335891362E-003,0.116630573582126,0.275416641696151,3.526169919140095E-002 
 08/14  14:00:00,1.18182965204435,0.000000000000000E+000,0.000000000000000E+000,0.515023495646489,0.154450476493804,0.669473972140294,0.154450476493804,4.802623305433765E-002,9.850653335891362E-003,0.113218423969948,0.290924895835622,3.526046164826258E-002 
 08/14  15:00:00,1.25392101867971,0.000000000000000E+000,0.000000000000000E+000,0.545899525214610,0.163044564083432,0.708944089298040,0.163044564083432,4.802623305433765E-002,9.850653335891362E-003,0.129668366297856,0.307096604697634,3.526005993594621E-002 
 08/14  16:00:00,1.39032455639614,0.000000000000000E+000,0.000000000000000E+000,0.567313965857682,0.171533837378068,0.738847803235750,0.171533837378068,5.102787345145721E-002,1.046631908413857E-002,0.176405324391186,0.363241460592936,3.526076358066941E-002 
 08/14  17:00:00,1.64343267666733,0.000000000000000E+000,0.000000000000000E+000,0.626959604693552,0.191471440267097,0.818431044960648,0.191471440267097,6.603607543705420E-002,1.354464782537459E-002,0.253803999437369,0.441280322332195,3.526157461469101E-002 
 08/14  18:00:00,1.68409324955432,0.000000000000000E+000,0.000000000000000E+000,0.592660551386356,0.183142451281438,0.775803002667794,0.183142451281438,0.111060674744059,2.277962859333829E-002,0.215016716585461,0.479097241517212,3.526094938645305E-002 
 08/14  19:00:00,1.69859155085520,0.000000000000000E+000,0.000000000000000E+000,0.571808324357755,0.178035731387340,0.749844055745095,0.178035731387340,0.216118055394306,4.432793660167091E-002,0.143443569296024,0.494522563816365,3.526035794174490E-002 
 08/14  20:00:00,1.85939534957853,0.000000000000000E+000,0.000000000000000E+000,0.564801668317315,0.176822174973886,0.741623843291200,0.176822174973886,0.369201655799319,7.572690476557534E-002,0.110983800153776,0.511523591081559,3.526054242709776E-002 
 08/14  21:00:00,1.93931945100913,0.000000000000000E+000,0.000000000000000E+000,0.548264386737020,0.172896931433791,0.721161318170812,0.172896931433791,0.474259036449565,9.727519913454705E-002,9.670661120269429E-002,0.499581406075763,3.526086791574982E-002 
 08/14  22:00:00,1.64483593900688,0.000000000000000E+000,0.000000000000000E+000,0.495867339622663,0.156918801713652,0.652786141336315,0.156918801713652,0.354193420564790,7.264856920465887E-002,8.254796269208844E-002,0.432323683577848,3.526114957118681E-002 
 08/14  23:00:00,1.36209837298744,0.000000000000000E+000,0.000000000000000E+000,0.430408298255244,0.136681585650081,0.567089883905325,0.136681585650081,0.246134459365500,5.048459408414295E-002,7.237240795950005E-002,0.375681236640641,3.526077897233061E-002 
 08/14  24:00:00,1.05380610697639,0.000000000000000E+000,0.000000000000000E+000,0.360066938617740,0.114742726682706,0.474809665300445,0.114742726682706,0.126068843480724,2.585796415425477E-002,6.598822424871077E-002,0.310745605671627,3.526079206062775E-002 
 08/15  01:00:00,0.894088694937559,0.000000000000000E+000,0.000000000000000E+000,0.304689739928939,9.776719335025655E-002,0.402456933279195,9.776719335025655E-002,7.504097667905331E-002,1.539165052586057E-002,6.474882801335874E-002,0.286114849097177,3.526044528291449E-002 
 08/15  02:00:00,0.801872524113887,0.000000000000000E+000,0.000000000000000E+000,0.263192079057681,8.487967167939692E-002,0.348071750737078,8.487967167939692E-002,5.102787345145721E-002,1.046631908413857E-002,5.917381638629718E-002,0.282797575484454,3.526017691046229E-002 
 08/15  03:00:00,0.751388470560368,0.000000000000000E+000,0.000000000000000E+000,0.228892377695012,7.430487352422070E-002,0.303197251219232,7.430487352422070E-002,5.102787345145721E-002,1.046631908413857E-002,5.754530737938157E-002,0.278816847149188,3.525986021696949E-002 
 08/15  04:00:00,0.718888547615614,0.000000000000000E+000,0.000000000000000E+000,0.209813489298596,6.788771845054131E-002,0.277701207749137,6.788771845054131E-002,5.102787345145721E-002,1.046631908413857E-002,6.107387405969933E-002,0.268284503428801,3.525975778238060E-002 
 08/15  05:00:00,0.753740046532741,0.000000000000000E+000,0.000000000000000E+000,0.206804585689041,6.669352262659013E-002,0.273498108315631,6.669352262659013E-002,5.402951384857650E-002,1.108198483238577E-002,6.541161282374507E-002,0.299383943548060,3.525987110434237E-002 
 08/15  06:00:00,0.879155365152541,0.000000000000000E+000,0.000000000000000E+000,0.221855541073614,7.130819673280091E-002,0.293163737806414,7.130819673280091E-002,8.704756486667618E-002,1.785430533523284E-002,8.484587746206017E-002,0.345908705966468,3.526016165568648E-002 
 08/15  07:00:00,1.11271100806830,0.000000000000000E+000,0.000000000000000E+000,0.282857615923814,8.804298246045100E-002,0.370900598384264,8.804298246045100E-002,0.153083600405012,3.139895452454353E-002,0.109439341159945,0.367553916289473,3.525956124505893E-002 
 08/15  08:00:00,1.07719223191274,0.000000000000000E+000,0.000000000000000E+000,0.351125938602182,0.105291932398944,0.456417871001124,0.105291932398944,0.120065615884776,2.462662992988818E-002,0.115002064575211,0.310745605671627,3.525943279011506E-002 
 08/15  09:00:00,1.08659848956945,0.000000000000000E+000,0.000000000000000E+000,0.450830342935630,0.130176470765122,0.581006813700754,0.130176470765122,6.003279464281535E-002,1.231331632888018E-002,0.118440913983317,0.264469638774171,3.526000007951582E-002 
 08/15  10:00:00,1.20530704188488,0.000000000000000E+000,0.000000000000000E+000,0.553895775723799,0.163070091951129,0.716965867674930,0.163070091951129,4.802623305433765E-002,9.850653335891362E-003,0.109439341159945,0.270689526798023,3.526040780175590E-002 
 08/15  11:00:00,1.18080833616140,0.000000000000000E+000,0.000000000000000E+000,0.525882505393070,0.157813856362814,0.683696361755885,0.157813856362814,4.802623305433765E-002,9.850653335891362E-003,0.118127106899833,0.270772458638341,3.526051041711521E-002 
 08/15  12:00:00,1.15514345899874,0.000000000000000E+000,0.000000000000000E+000,0.498642664794118,0.152408981647677,0.651051646441795,0.152408981647677,4.802623305433765E-002,9.850653335891362E-003,0.129668366297856,0.266211207420850,3.526034038801363E-002 
 08/15  13:00:00,1.18700139930082,0.000000000000000E+000,0.000000000000000E+000,0.525992838766409,0.160748746000342,0.686741584766751,0.160748746000342,4.802623305433765E-002,9.850653335891362E-003,0.116630573582126,0.275416641696151,3.526070080556502E-002 
 08/15  14:00:00,1.21746984237419,0.000000000000000E+000,0.000000000000000E+000,0.540082292424013,0.165030901071674,0.705113193495687,0.165030901071674,4.802623305433765E-002,9.850653335891362E-003,0.113218423969948,0.290924895835622,3.526143062270638E-002 
 08/15  15:00:00,1.28774852561075,0.000000000000000E+000,0.000000000000000E+000,0.568929424752515,0.173840680066476,0.742770104818992,0.173840680066476,4.802623305433765E-002,9.850653335891362E-003,0.129668366297856,0.307096604697634,3.526155134603573E-002 
 08/15  16:00:00,1.42632823663917,0.000000000000000E+000,0.000000000000000E+000,0.594057262443272,0.180793600873422,0.774850863316695,0.180793600873422,5.102787345145721E-002,1.046631908413857E-002,0.176405324391186,0.363241460592936,3.526138374275498E-002 
 08/15  17:00:00,1.69539251259094,0.000000000000000E+000,0.000000000000000E+000,0.667621538932732,0.202768261986727,0.870389800919459,0.202768261986727,6.603607543705420E-002,1.354464782537459E-002,0.253803999437369,0.441280322332195,3.526265457949331E-002 
 08/15  18:00:00,1.74978723063279,0.000000000000000E+000,0.000000000000000E+000,0.646044941226984,0.195451368340463,0.841496309567448,0.195451368340463,0.111060674744059,2.277962859333829E-002,0.215016716585461,0.479097241517212,3.526162356526989E-002 
 08/15  19:00:00,1.76900409496012,0.000000000000000E+000,0.000000000000000E+000,0.629149686694983,0.191106347543928,0.820256034238911,0.191106347543928,0.216118055394306,4.432793660167091E-002,0.143443569296024,0.494522563816365,3.526092355283988E-002 
 08/15  20:00:00,1.93750027060800,0.000000000000000E+000,0.000000000000000E+000,0.628467157959632,0.191261013684725,0.819728171644360,0.191261013684725,0.369201655799319,7.572690476557534E-002,0.110983800153776,0.511523591081559,3.526113510341635E-002 
 08/15  21:00:00,2.02677550389184,0.000000000000000E+000,0.000000000000000E+000,0.619379766837439,0.189236894584946,0.808616661422387,0.189236894584946,0.474259036449565,9.727519913454705E-002,9.670661120269429E-002,0.499581406075763,3.526157754688697E-002 
 08/15  22:00:00,1.72967749472967,0.000000000000000E+000,0.000000000000000E+000,0.563978484954866,0.173648355136059,0.737626840090925,0.173648355136059,0.354193420564790,7.264856920465887E-002,8.254796269208844E-002,0.432323683577848,3.526200653935711E-002 
 08/15  23:00:00,1.44357722751276,0.000000000000000E+000,0.000000000000000E+000,0.495217363097279,0.153350533869823,0.648567896967102,0.153350533869823,0.246134459365500,5.048459408414295E-002,7.237240795950005E-002,0.375681236640641,3.526162043587489E-002 
 08/15  24:00:00,1.12794613157441,0.000000000000000E+000,0.000000000000000E+000,0.418405676131129,0.130543630348452,0.548949306479580,0.130543630348452,0.126068843480724,2.585796415425477E-002,6.598822424871077E-002,0.310745605671627,3.526117547951087E-002 
 08/16  01:00:00,0.965688416301240,0.000000000000000E+000,0.000000000000000E+000,0.360686137410210,0.113370121227895,0.474056258638104,0.113370121227895,7.504097667905331E-002,1.539165052586057E-002,6.474882801335874E-002,0.286114849097177,3.526084128768741E-002 
 08/16  02:00:00,0.868094775816151,0.000000000000000E+000,0.000000000000000E+000,0.314670083412885,9.962364488136354E-002,0.414293728294248,9.962364488136354E-002,5.102787345145721E-002,1.046631908413857E-002,5.917381638629718E-002,0.282797575484454,3.526045105555772E-002 
 08/16  03:00:00,0.813398812081846,0.000000000000000E+000,0.000000000000000E+000,0.276914637811457,8.829249585536350E-002,0.365207133666820,8.829249585536350E-002,5.102787345145721E-002,1.046631908413857E-002,5.754530737938157E-002,0.278816847149188,3.526031929085842E-002 
 08/16  04:00:00,0.775290795587637,0.000000000000000E+000,0.000000000000000E+000,0.253331273740711,8.077177894111284E-002,0.334103052681823,8.077177894111284E-002,5.102787345145721E-002,1.046631908413857E-002,6.107387405969933E-002,0.268284503428801,3.526016082171720E-002 
 08/16  05:00:00,0.804246302418763,0.000000000000000E+000,0.000000000000000E+000,0.245672289026521,7.833192426216705E-002,0.324004213288688,7.833192426216705E-002,5.402951384857650E-002,1.108198483238577E-002,6.541161282374507E-002,0.299383943548060,3.526002201730755E-002 
 08/16  06:00:00,0.937464577399590,0.000000000000000E+000,0.000000000000000E+000,0.266500315149710,8.497258237357791E-002,0.351472897523288,8.497258237357791E-002,8.704756486667618E-002,1.785430533523284E-002,8.484587746206017E-002,0.345908705966468,3.526021418586406E-002 
 08/16  07:00:00,1.15406205862499,0.000000000000000E+000,0.000000000000000E+000,0.314928572551501,9.732271796780680E-002,0.412251290519307,9.732271796780680E-002,0.153083600405012,3.139895452454353E-002,0.109439341159945,0.367553916289473,3.525991966671067E-002 
 08/16  08:00:00,1.10469845507712,0.000000000000000E+000,0.000000000000000E+000,0.372433094382123,0.111490863016240,0.483923957398364,0.111490863016240,0.120065615884776,2.462662992988818E-002,0.115002064575211,0.310745605671627,3.525956955725030E-002 
 08/16  09:00:00,1.09378135613463,0.000000000000000E+000,0.000000000000000E+000,0.456375921704090,0.131813676554935,0.588189598259024,0.131813676554935,6.003279464281535E-002,1.231331632888018E-002,0.118440913983317,0.264469638774171,3.526008208641893E-002 
 08/16  10:00:00,1.35305555642868,0.000000000000000E+000,0.000000000000000E+000,0.672212639799004,0.192501378027297,0.864714017826302,0.192501378027297,4.802623305433765E-002,9.850653335891362E-003,0.109439341159945,0.270689526798023,3.526077219418463E-002 
 08/16  11:00:00,1.36890950423641,0.000000000000000E+000,0.000000000000000E+000,0.678980494985575,0.192816610179151,0.871797105164726,0.192816610179151,4.802623305433765E-002,9.850653335891362E-003,0.118127106899833,0.270772458638341,3.526093508327633E-002 
 08/16  12:00:00,1.46814282085985,0.000000000000000E+000,0.000000000000000E+000,0.752281852889265,0.211768580615982,0.964050433505246,0.211768580615982,4.802623305433765E-002,9.850653335891362E-003,0.129668366297856,0.266211207420850,3.526091518566735E-002 
 08/16  13:00:00,1.58238288678906,0.000000000000000E+000,0.000000000000000E+000,0.846078242670522,0.236044614747235,1.08212285741775,0.236044614747235,4.802623305433765E-002,9.850653335891362E-003,0.116630573582126,0.275416641696151,3.526091564279661E-002 
 08/16  14:00:00,1.72998652482350,0.000000000000000E+000,0.000000000000000E+000,0.953426983496310,0.264202502859763,1.21762948635607,0.264202502859763,4.802623305433765E-002,9.850653335891362E-003,0.113218423969948,0.290924895835622,3.526182021163277E-002 
