Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 05/29  12:00:00,0.715861745549841,0.783213767878607,0.000000000000000E+000,6.970372660939389E-002,1.866350210245879E-003,1.866350210245879E-003,1.866350210245879E-003,4.370964444815064E-002,9.056146820443660E-003,0.357197582224207,0.288684009568392,0.693624387499169 
 05/29  13:00:00,0.691523663373722,0.664639200816144,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.370964444815064E-002,9.056146820443660E-003,0.324743319086342,0.298666540740383,0.644065912289562 
 05/29  14:00:00,0.683261709286380,0.617005704421644,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.370964444815064E-002,9.056146820443660E-003,0.299663947619161,0.315483958120226,0.595273968152074 
 05/29  15:00:00,0.709349825733873,0.621355582327496,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.370964444815064E-002,9.056146820443660E-003,0.308215184980723,0.333020837206157,0.598415839053202 
 05/29  16:00:00,0.820205586655458,0.681687789287406,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.662361982750796E-002,9.659889561745467E-003,0.354668780903828,0.393905284083975,0.654554093489025 
 05/29  17:00:00,1.00320009832901,0.809900692623452,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,5.827952822383222E-002,1.207486052695269E-002,0.438965730037081,0.478531967262748,0.776937588663821 
 05/29  18:00:00,1.08548665369023,0.926363102922084,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.101989172671983,2.113100307170893E-002,0.397477157158294,0.519541284509845,0.890575121043718 
 05/29  19:00:00,1.12016777946075,0.946210743128014,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.203978345343966,4.226202039570926E-002,0.322310632266247,0.536268769176425,0.909270508414375 
 05/29  20:00:00,1.28871158881952,0.881525892649669,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.358419088602172,7.426039566130900E-002,0.285979116882669,0.554704975394967,0.843315701854141 
 05/29  21:00:00,1.39316602615528,0.800052201269491,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.469150166775544,9.720263693352733E-002,0.269710545482451,0.541754664685357,0.762734077185143 
 05/29  22:00:00,1.14534344754039,0.666087480495069,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.367161062892504,7.607163386181841E-002,0.217943504277125,0.468819234230540,0.633793426568822 
 05/29  23:00:00,0.880081991049343,0.521783747493156,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.256429915930189,5.312939258960007E-002,0.147779479178003,0.407395191073153,0.493720815537295 
 05/29  24:00:00,0.622070026936923,0.859848153123169,0.000000000000000E+000,0.491766949856045,1.316729240889842E-002,1.316729240889842E-002,1.316729240889842E-002,0.131128926465557,2.716844473701840E-002,9.827947445740333E-002,0.336977876589647,0.344868884053306 
 05/30  01:00:00,0.532555351923663,1.34693087063400,0.000000000000000E+000,1.04916748500182,2.809195507134330E-002,2.809195507134330E-002,2.809195507134330E-002,7.867735587933436E-002,1.630105829083620E-002,8.386910965267348E-002,0.310267860751076,0.276390954010167 
 05/30  02:00:00,0.496141766014973,1.74365781561573,0.000000000000000E+000,1.46477837669572,3.922013304438217E-002,3.922013304438217E-002,3.922013304438217E-002,5.245157058622290E-002,1.086737504434908E-002,7.158412284098968E-002,0.306670552220629,0.257754803606656 
 05/30  03:00:00,0.492632594667855,2.05794262589487,0.000000000000000E+000,1.77400040490643,4.749969893614264E-002,4.749969893614264E-002,4.749969893614264E-002,5.245157058622290E-002,1.086737504434908E-002,6.411215583864807E-002,0.302353781984093,0.263114941245473 
 05/30  04:00:00,0.496211788563788,2.30429206466213,0.000000000000000E+000,1.96673604652235,5.266028679491656E-002,5.266028679491656E-002,5.266028679491656E-002,5.245157058622290E-002,1.086737504434908E-002,7.395221645997889E-002,0.290932327399923,0.317515491676823 
 05/30  05:00:00,0.547325881307085,2.60329650483029,0.000000000000000E+000,2.02482996911128,5.421577901767018E-002,5.421577901767018E-002,5.421577901767018E-002,5.536555284447490E-002,1.147111778565089E-002,8.626832450802412E-002,0.324657094872865,0.556102918862360 
 05/30  06:00:00,0.681716241390218,3.18719308532079,0.000000000000000E+000,2.15990746361713,5.783254274801135E-002,5.783254274801135E-002,5.783254274801135E-002,7.867735587933436E-002,1.630105829083620E-002,0.138447925181248,0.375109347012388,1.00144666161804 
 05/30  07:00:00,0.846659589796527,2.84184118132549,0.000000000000000E+000,1.69041635931667,4.526169662768861E-002,4.526169662768861E-002,4.526169662768861E-002,0.131128926465557,2.716844473701840E-002,0.214170712514307,0.398581785173556,1.12396899100917 
 05/30  08:00:00,0.787091168426495,2.60673288021377,0.000000000000000E+000,1.49182803212866,3.994440034772526E-002,3.994440034772526E-002,3.994440034772526E-002,9.907520417151992E-002,2.052726175563627E-002,0.275218413283566,0.336977876589647,1.09169252887129 
 05/30  09:00:00,0.730048634996982,2.06468619917440,0.000000000000000E+000,1.05131319138599,2.814940737347983E-002,2.814940737347983E-002,2.814940737347983E-002,5.245157058622290E-002,1.086737504434908E-002,0.336436847124624,0.286795422589907,0.993617447080416 
 05/30  10:00:00,0.738851385975525,1.85223176946829,0.000000000000000E+000,0.954444148933819,2.555569299777598E-002,2.555569299777598E-002,2.555569299777598E-002,4.370964444815064E-002,9.056146820443660E-003,0.351641513346258,0.293540376084496,0.877567441747731 
 05/30  11:00:00,0.740475068002655,1.23772352014778,0.000000000000000E+000,0.443508197986263,1.187514152860054E-002,1.187514152860054E-002,1.187514152860054E-002,4.370964444815064E-002,9.056146820443660E-003,0.366855814129303,0.293630308797759,0.773988948467058 
 05/30  12:00:00,0.715390315112830,0.765213264588139,0.000000000000000E+000,5.209692477965120E-002,1.394919773235793E-003,1.394919773235793E-003,1.394919773235793E-003,4.370964444815064E-002,9.056146820443660E-003,0.357197582224207,0.288684009568392,0.693230686038439 
 05/30  13:00:00,0.691523663373722,0.664464683912813,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.370964444815064E-002,9.056146820443660E-003,0.324743319086342,0.298666540740383,0.643891395386232 
 05/30  14:00:00,0.683261709286380,0.616049894331496,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.370964444815064E-002,9.056146820443660E-003,0.299663947619161,0.315483958120226,0.594318158061924 
 05/30  15:00:00,0.709349825733873,0.622364235251831,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.370964444815064E-002,9.056146820443660E-003,0.308215184980723,0.333020837206157,0.599424491977538 
 05/30  16:00:00,0.820205586655458,0.683168068015553,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,4.662361982750796E-002,9.659889561745467E-003,0.354668780903828,0.393905284083975,0.656034372217172 
 05/30  17:00:00,1.00320009832901,0.812878049673606,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,5.827952822383222E-002,1.207486052695269E-002,0.438965730037081,0.478531967262748,0.779914945713971 
 05/30  18:00:00,1.08548665369023,0.928886086317961,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.101989172671983,2.113100307170893E-002,0.397477157158294,0.519541284509845,0.893098104439592 
