Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 09/30  04:00:00,0.921775649956249,0.000000000000000E+000,0.000000000000000E+000,0.314604286872911,9.822949593095610E-002,0.412833782803868,9.822949593095610E-002,5.077234876233152E-002,1.041390847590012E-002,7.620720412933703E-002,0.269497088755033,8.697630496978109E-002 
 09/30  05:00:00,1.10714091322054,0.000000000000000E+000,0.000000000000000E+000,0.330101343288441,0.103082286288694,0.433183629577135,0.103082286288694,5.439894272757437E-002,1.115775966586559E-002,8.945989946368259E-002,0.300737091315508,0.203128578410774 
 09/30  06:00:00,1.54981744110078,0.000000000000000E+000,0.000000000000000E+000,0.380116615624485,0.118720186315551,0.498836801940039,0.118720186315551,0.101544697524663,2.082782240754459E-002,0.146230364189749,0.347472135145980,0.419830607832809 
 09/30  07:00:00,1.91658668274550,0.000000000000000E+000,0.000000000000000E+000,0.429693916941503,0.134226292336049,0.563920209277554,0.134226292336049,0.192209613153597,3.942408169764013E-002,0.230070928193149,0.369215176928069,0.476671637435494 
 09/30  08:00:00,1.80965550387721,0.000000000000000E+000,0.000000000000000E+000,0.402101392570962,0.125639998362167,0.527741390933128,0.125639998362167,0.159570267466412,3.272943326337566E-002,0.301918793908311,0.312150105584268,0.460470500661714 
 09/30  09:00:00,1.66553910508269,0.000000000000000E+000,0.000000000000000E+000,0.382902218835172,0.119665322097421,0.502567540932592,0.119665322097421,7.978513373320592E-002,1.636470981200738E-002,0.375444792904911,0.265664981774281,0.410636933865695 
 09/30  10:00:00,1.65287547182882,0.000000000000000E+000,0.000000000000000E+000,0.412496725899175,0.128927599396054,0.541424325295230,0.128927599396054,6.165213730784650E-002,1.264546068186045E-002,0.397296620198725,0.271912982286376,0.352868933998788 
 09/30  11:00:00,1.64492074570345,0.000000000000000E+000,0.000000000000000E+000,0.433860345015962,0.134349718001362,0.568210063017323,0.134349718001362,6.165213730784650E-002,1.264546068186045E-002,0.413104165661999,0.271996288959870,0.302237618014548 
 09/30  12:00:00,1.66411757618053,0.000000000000000E+000,0.000000000000000E+000,0.494620159311578,0.151375590851788,0.645995750163367,0.151375590851788,6.165213730784650E-002,1.264546068186045E-002,0.397819062986971,0.267414421917668,0.263515731062813 
 09/30  13:00:00,1.66514330650768,0.000000000000000E+000,0.000000000000000E+000,0.533785653640998,0.161732675991283,0.695518329632280,0.161732675991283,6.165213730784650E-002,1.264546068186045E-002,0.362611945670944,0.276661462675568,0.240978958479184 
 09/30  14:00:00,1.66542770515779,0.000000000000000E+000,0.000000000000000E+000,0.561587349000539,0.170166958698458,0.731754307699000,0.170166958698458,6.165213730784650E-002,1.264546068186045E-002,0.333355082572772,0.292239810619059,0.218705894217249 
 09/30  15:00:00,1.71614187162767,0.000000000000000E+000,0.000000000000000E+000,0.581805685626168,0.176294742530519,0.758100428156685,0.176294742530519,6.165213730784650E-002,1.264546068186045E-002,0.338085123906433,0.308484611950506,0.222099097564340 
 09/30  16:00:00,1.89783636346455,0.000000000000000E+000,0.000000000000000E+000,0.617382260569069,0.187061405201915,0.804443665770982,0.187061405201915,6.890535183747737E-002,1.413316033391922E-002,0.378535166805636,0.364883229906350,0.251860776750190 
 09/30  17:00:00,2.22629742482088,0.000000000000000E+000,0.000000000000000E+000,0.673948559331283,0.204189339229623,0.878137898560907,0.204189339229623,0.101544697524663,2.082782240754459E-002,0.454299752296194,0.443274809664770,0.313137432306801 
 09/30  18:00:00,2.47032229500322,0.000000000000000E+000,0.000000000000000E+000,0.710026195588977,0.215050108198771,0.925076303787748,0.215050108198771,0.188583019188355,3.868023187161074E-002,0.416394348374079,0.481262652778309,0.375250702943117 
 09/30  19:00:00,2.56484606976240,0.000000000000000E+000,0.000000000000000E+000,0.686976508192733,0.212203479258030,0.899179987450764,0.212203479258030,0.344526626191661,7.066580166959610E-002,0.348977328846029,0.496757694048304,0.389663619496049 
 09/30  20:00:00,2.63808693646125,0.000000000000000E+000,0.000000000000000E+000,0.617506173151618,0.198512093242346,0.816018266393966,0.198512093242346,0.514976675553800,0.105626784411060,0.316662628518856,0.513835562114696,0.355892007408870 
 09/30  21:00:00,2.41814000439334,0.000000000000000E+000,0.000000000000000E+000,0.533920959567451,0.176325816108900,0.710246775676349,0.176325816108900,0.478710735901371,9.818828615076608E-002,0.302601844930188,0.501839401131475,0.311477948543190 
 09/30  22:00:00,1.95788553327745,0.000000000000000E+000,0.000000000000000E+000,0.436624359597961,0.146812719935821,0.583437079533782,0.146812719935821,0.359033002052633,7.364121461307456E-002,0.244764798588447,0.434277688927354,0.247656737502165 
 09/30  23:00:00,1.50388813320773,0.000000000000000E+000,0.000000000000000E+000,0.351385490185981,0.118886645771810,0.470272135957791,0.118886645771810,0.250235183095346,5.132569255347119E-002,0.162484040057721,0.377379230930540,0.177116838552861 
 09/30  24:00:00,1.04568499656646,0.000000000000000E+000,0.000000000000000E+000,0.269112556000861,9.137184972417241E-002,0.360484405725033,9.137184972417241E-002,0.126930855281363,2.603477118975029E-002,0.104489818790726,0.312150105584268,0.100520027935323 
